V_ERAMS_MATRIX_SAMPLE_ANALYSIS.MAT_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.SAMP_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_SIZE,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_UNIT,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_PROC_NUM,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.DURATION,V_ERAMS_LOCATION.LOC_NUM,V_ERAMS_LOCATION.CITY_NAME,V_ERAMS_LOCATION.STATE_ABBR,V_ERAMS_RESULTS_ANALYTE.ANALYTE_ID,V_ERAMS_RESULTS_ANALYTE.RESULT_AMOUNT,V_ERAMS_RESULTS_ANALYTE.CSU,V_ERAMS_RESULTS_ANALYTE.MDC,V_ERAMS_RESULTS_ANALYTE.RESULT_UNIT,V_ERAMS_RESULTS_ANALYTE.RESULT_DATE,V_ERAMS_RESULTS_ANALYTE.ANA_TYPE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE_TIME_UNIT,V_ERAMS_RESULTS_ANALYTE.ANALYTE_NAME
DRINKING WATER,A007294,1,L,9,500,146,COLUMBUS,OH,CO60,,,6.4,PCI/L,2000-07-01,R,5.271,Y,Cobalt-60
DRINKING WATER,A007294,1,L,9,500,146,COLUMBUS,OH,K40,,,64,PCI/L,2000-07-01,R,1277000000,Y,Potassium-40
DRINKING WATER,A007295,400,ML,2,100,70,E. LIVERPOOL,OH,BETA,3.81,.59,1.5,PCI/L,2001-09-28,R,,,Gross Beta
DRINKING WATER,A007297,1,L,9,500,196,TOLEDO,OH,K40,,,46,PCI/L,2000-07-01,R,1277000000,Y,Potassium-40
DRINKING WATER,A007297,.5,L,130,100,196,TOLEDO,OH,SR90,.67,.45,1.5,PCI/L,2000-07-01,R,28.6,Y,Strontium-90
DRINKING WATER,A104859,.01,L,122,100,184,BAXLEY,GA,H3,6,39,130,PCI/L,2001-10-10,R,12.312,Y,Tritium
DRINKING WATER,A102972,.01,L,10,100,5,DOTHAN,AL,H3,-41.582,39,140,PCI/L,2001-07-02,R,12.312,Y,Tritium
DRINKING WATER,A007299,500,ML,2,100,51,LITTLE ROCK,AR,BETA,1.2,.38,1.1,PCI/L,2001-09-28,R,,,Gross Beta
DRINKING WATER,A007300,1,L,9,500,45,NEW ORLEANS,LA,RA226,,,99,PCI/L,2000-07-01,R,1600,Y,Radium-226
DRINKING WATER,A007301,.5,L,16,1000,149,SANTA FE,NM,PU238,.031,.02,.066,PCI/L,2001-12-06,R,87.75,Y,Plutonium-238
